setup(a, b)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 2)
price(b, 1)
price(c, 2)
price(a, 3)
price(b, 2)
price(a, 1)
price(b, 2)
price(c, 3)
price(a, 4)
price(b, 5)
price(c, 6)
price(a, 5)
price(b, 4)
price(c, 3)
price(a, 6)
price(b, 5)
price(c, 4)
price(a, 7)
price(b, 8)
price(c, 9)
price(a, 1)
